Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
427,"Azonos irányban halad két hajóval. Mire számíthat, ha az Ön előtti vitorlás előzni fogja az előtte lévő nem vitorlást? Ha valamely hajót vitorlás hajó előz, az előzött hajó","köteles megkönnyíteni az előző vitorlásnak a szél felőli oldalon történő elhaladását kivéve, ha kishajó más hajót előz.","köteles megkönnyíteni az előző vitorlásnak a szél alatti oldalon történő elhaladását kivéve, ha kishajót más hajó előzi.","köteles megkönnyíteni az előző vitorlásnak a szél alatti oldalon történő elhaladását kivéve, ha kishajó más hajót előz.",xxx-4022.jpg,1
428,Kishajóval megelőzheti-e a tábla hatálya alá tartozó víziút-szakaszon az Ön előtt haladó kishajónak nem tekinthető köteléket?,"Igen, mivel a tábla csak magányos hajók egymás közötti előzését tiltja, kötelék előzését nem.","Igen, mivel a tábla csak kishajónak nem tekinthető hajók egymás közötti előzését tiltja.","Nem, mivel a tábla általános előzési tilalmat jelent!",xxx-4024.jpg,3
429,Magányosan haladó kishajóval megelőzheti-e a tábla hatálya alá tartozó víziút szakaszon az Ön előtt haladó kishajónak nem tekinthető hajót?,"Igen, mivel a tábla a kötelék egymás közötti előzését tiltja.","Igen, mivel a gépi erővel haladó kishajóra a tábla nem jelent előzési tilalmat.","Nem, mivel a tábla általános előzési tilalmat jelent!",xxx-4026.jpg,1
430,Alkalmazandók-e a keresztezés szabályai a forduláskor?,"Igen, kivéve a kijelölt fordítóhelyen.",Nem.,"Igen, és a völgymenetből hegymenetbe forduló hajó minősül keresztezőnek.",,2
431,Milyen fő szabály vonatkozik a kishajó megfordulására?,Bármikor megfordulhat.,"Csak akkor fordulhat meg, ha meggyőződött arról, hogy más hajók sebessége lehetővé teszi, és más hajó nem kényszerül menetiránya megváltoztatására.","Csak akkor fordulhat meg, ha meggyőződött arról, hogy más hajók mozgása ezt veszély nélkül lehetővé teszi, és más hajó nem kényszerül menetiránya és sebessége hirtelen megváltoztatására.",xxx-4045.jpg,3
432,Kishajóval hegymenetben hajózva észleli egy másik kishajó fordulási szándékát. Mit kell tennie?,Ha szükséges és lehetséges sebesség és irányváltoztatással elő kell segíteni különösen a hegymenetbe fordulni szándékozó kishajót a fordulás végrehajtásában.,Sebesség és/vagy irányváltoztatás nélkül kell tovább hajóznia.,"Ha ez szükségessel, megállással kell biztosítania a fordulás végrehajtását.",xxx-4046.jpg,1
433,Fordulhat-e kishajójával a víziút táblával megjelölt szakaszán?,"Nem, mivel a víziút táblával megjelölt szakaszán kishajónak is tilos megfordulni!","Igen, mivel a tábla kizárólag kishajónak nem tekinthető hajók fordulását tiltja.","Magányosan haladó kishajóval igen, míg kizárólag kishajókból álló kötelékkel nem.",teszt-0175.jpg,1
434,A keresztezésre vonatkozó szabályokat kell-e alkalmazni a hajó elindulásakor?,Nem.,"Igen, induláskor a keresztezésre vonatkozó előírások szerint kell eljárni.","Nem, induláskor a kikötőből történő kihajózásra vonatkozó előírások szerint kell eljárni.",,1
435,"Milyen fő szabály vonatkozik a kishajó indulására? Kishajó akkor indulhat el, ha","meggyőződött arról, hogy a forgalmi helyzet ezt veszély nélkül lehetővé teszi még akkor is ha ezzel mások menetirányuk vagy sebességük megváltoztatására kényszerülnek.",elegendően nagy hely áll rendelkezésre az indulás végrehajtására.,"meggyőződött arról, hogy más hajók mozgása ezt veszély nélkül lehetővé teszi és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",,3
436,Kishajóval észleli egy másik kishajó indulási szándékát. Mit kell tennie?,Sebesség és/vagy irányváltoztatás nélkül kell tovább hajózni.,"Ha ez szükségessel, megállással kell biztosítani az indulás végrehajtását.",Ha szükséges és lehetséges sebesség és irányváltoztatással elő kell segíteni az indulás végrehajtásában.,xxx-4066.jpg,3
437,"Milyen fő szabály vonatkozik kikötőbe, mellékvíziútba történő be- és onnan történő kihajózásra? Hajó akkor hajózhat be vagy hajózhat ki és térhet rá a fő víziútra, illetve keresztezheti azt, ha","meggyőződött arról, hogy ez a művelet biztonságosan elvégezhető, és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.","a műveletet azt más hajók elősegítik még akkor is, ha azzal menetirányuk és sebességük hirtelen megváltoztatására kényszerülnek.","meggyőződött arról, hogy onnan nincs ki-, vagy oda behajózó hajó.",,1
438,Mikor hajózhat be a kishajó a kikötőbe?,A kormányképesség megőrzéséhez szükséges minimális sebességgel és a hullámkeltés elkerülésével.,"A lehető legkisebb sebességgel és a lehető legnagyobb oldaltávolság tartásával a partoldaltól úgy, hogy más hajók sérülése megelőzhető legyen.","Ha a művelet biztonságosan elvégezhető, és más hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",xxx-4069.jpg,3
439,"Hegymenetben haladó kishajóval egy mellékvíziútba szeretne behajózni, amikor észleli az oda szintén behajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat be?","Érkezési sorrendben, mivel kikötőbe/mellékvíziútba történő behajózáskor a kishajó megkövetelheti, hogy a kishajónak nem tekinthető hajó javára kitérjen.",Hegymenetben haladóként én hajózhatók be elsőként.,"A kishajónak nem tekinthető hajó után, ha a művelet biztonságosan elvégezhető és a kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",xxx-4076.jpg,3
440,"Kishajóval egy kikötőbe szeretne behajózni, amikor észleli az oda szintén behajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat be?","Érkezési sorrendben, mivel kikötőbe/mellékvíziútba történő behajózáskor a kishajó megkövetelheti, hogy a kishajónak nem tekinthető hajó javára kitérjen.","A kishajónak nem tekinthető hajó után, ha a művelet biztonságosan elvégezhető és a kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.","Ha a művelet biztonságosan elvégezhető még akkor is, ha más kishajó menetiránya vagy sebessége megváltoztatására kényszerül.",xxx-4078.jpg,2
441,"Egy hegymenetben és egy völgymenetben haladó kishajó közül melyik hajózhat elsőként a mellékvíziútba, ha a völgymenetben haladónak a behajózás előtt hegymenetbe kell fordulnia? Elsőként",a hegymenetben haladó hajózhat be.,a völgymenetben haladó hajózhat be.,a gyorsabban haladó hajózhat be.,xxx-4074.jpg,1
442,"Kishajóval egy mellékvíziútba szeretne behajózni, amikor észleli az onnan kihajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat be?",Mellékvíziútba behajózóként a kishajó elsőbbséget élvez az onnan kihajózó hajóval szemben még akkor is ha az nem kishajó.,Ha más mellékvíziútba behajózó hajó a kishajó kivételével nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.,"Ha a művelet biztonságosan elvégezhető, és a kihajózó kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",xxx-4082.jpg,3
443,"Kishajóval egy kikötőbe szeretne behajózni, amikor észleli az onnan kihajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat be?",Kikötőbe behajózóként a kishajó elsőbbséget élvez az onnan kihajózó hajóval szemben még akkor is ha az nem kishajó.,"Ha a művelet biztonságosan elvégezhető, és a kihajózó kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",Ha más kikötőbe behajózó hajó a kishajó kivételével nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.,xxx-2320.jpg,2
444,"Kishajóval egy mellékvíziútból szeretne kihajózni, amikor észleli az oda behajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat ki?",Mellékvíziútból kihajózó kishajóként elsőbbséget élvezek az oda behajózó hajóval szemben még akkor is ha az nem kishajó.,"Vissza kell fordulnom és csak akkor hajózhatok ki, ha a kishajónak nem tekinthető hajó már behajózott a mellékvíziútba.","Ha a művelet biztonságosan elvégezhető, és a behajózó kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",xxx-4084.jpg,3
445,"Kishajóval egy kikötőből szeretne kihajózni, amikor észleli az oda behajózni kívánó kishajónak nem tekinthető hajót. Mikor hajózhat ki?","Ha a művelet biztonságosan elvégezhető, és a behajózó kishajónak nem tekinthető hajó nem kényszerül menetiránya vagy sebessége hirtelen megváltoztatására.",Kikötőből kihajózó kishajóként elsőbbséget élvezek az oda behajózó hajóval szemben még akkor is ha az nem kishajó.,"Vissza kell fordulnom és csak akkor hajózhatok ki, ha a kishajónak nem tekinthető hajó már behajózott a kikötőbe.",xxx-2360.jpg,1
446,"Kishajóval észleli a mellékágból kihajózó kishajót. Mit kell tennie? A fő víziúton haladó kishajóként,","elsőbbséget élvezek, ezért köteles vagyok menetirányomat és sebességemet megtartani.","ha az szükséges, köteles vagyok menetirányomat vagy sebességemet megváltoztatni a kihajózás elősegítése érdekében.","ha az szükséges, köteles vagyok haladéktalanul völgymenetbe fordulni, így biztosítva a kihajózó műveletezését.",xxx-4120.jpg,2
447,"Kishajóval kihajózhat-e a táblával jelzett kikötőből/mellékvíziútból, ha kihajózásával a fő víziúton haladó kishajót menetirányának vagy sebességének megváltoztatására kényszerítene?","Igen, mivel a tábla kishajó kihajózására nem jelent korlátozást.","Nem, csak abban az esetben lehet rátérni a fő víziútra, ha azzal az ott haladó kishajó nem kényszerül menetiránya vagy sebessége megváltoztatására!","Nem, mivel a tábla kötelező megállást jelent, ha a fő víziút 500 méteres szakaszán más hajó halad.",xxx-4129.jpg,2
448,Milyen kitérési kötelezettséget határoz meg a Szabályzat az alábbiak közül? Találkozáskor és keresztezéskor,a hajók kötelesek utat engedni műveletképességében korlátozott hajónak és a halászattal foglalkozó hajónak.,a műveletképességében korlátozott hajó köteles a halászattal foglalkozó hajónak utat engedni.,a hajók kötelesek utat engedni a víziútban munkát végző hajónak és a műveletképességében korlátozott hajónak.,,1
449,Milyen kitérési kötelezettséget határoz meg a Szabályzat az alábbiak közül? Találkozáskor és keresztezéskor,a halászattal foglalkozó hajónak a többi hajó - a műveletképességében korlátozott hajó kivételével - köteles utat engedni.,a halászattal foglalkozó hajó köteles a többi hajónak utat engedni.,a gyorsjáratú hajónak a többi hajó köteles utat engedni.,,1
450,Hogyan kell kishajó és kishajónak nem tekinthető hajó találkozását végrehajtani?,"Mindkét hajónak jobbra kell tartania úgy, hogy az elhaladás a bal oldaluk felől történjen.","Mindkettőnknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk felől történjen.","A kishajónak biztosítania kell a kishajónak nem tekinthető hajó menetirányának megtartásához és műveleti végzéséhez szükséges teret, kishajó nem követelheti, hogy az neki kitérjenek.",,3
451,Kisgéphajóval észleli az ellentétes irányból közeledő kishajónak nem tekinthető sárga kettős kúpot és egy csúcsával lefelé néző fekete kúpot viselő hajót. Hogyan kell a találkozást végrehajtani?,"Mindkettőnknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk felől történjen.","Mindkettőnknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk felől történjen.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.",xxx-2640.jpg,3
452,"Evezővel hajtott haladó kishajóval észleli az ellentétes irányból közeledő kishajónak nem tekinthető olyan hajót, amely gépi erővel halad. Hogyan kell a találkozást végrehajtani?","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.","Mindkettőnknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk felől történjen.","Neki kell kitérnie, mivel a kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén túl a kishajónak nem tekinthető hajónak ki kell térnie a kishajó útjából.",xxx-2467.jpg,1
453,Vitorlás kishajóval észleli az ellentétes irányból közeledő kishajónak nem tekinthető géphajót. Hogyan kell a találkozást végrehajtani?,"Mindkettőnknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk felől történjen.","Neki kell kitérnie, mivel a géphajónak ki kell térnie a vitorlás hajó útjából.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.",xxx-2262.jpg,3
454,Vitorlás kishajóval baloldali széllel hajózva észleli az ellentétes irányból közeledő kishajónak nem tekinthető vitorlás hajót. Hogyan kell a találkozást végrehajtani?,"Nekem kell kitérnem, mivel a baloldali széllel vitorlázónak ki kell térnie a jobboldali széllel vitorlázó útjából.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.","Neki kell kitérnie, mivel a jobboldali széllel vitorlázónak ki kell térnie a baloldali széllel vitorlázó útjából.",xxx-2657.jpg,2
455,"Kisgéphajóval egy tavi kikötőből hajózik ki, amikor észleli az ellentétes irányból közeledő kishajónak nem tekinthető géphajót. Hogyan kell a találkozást végrehajtani?","Kikötőbe behajózóként neki kell kitérnie vagy meg kell állnia, hogy biztosítsa a kikötőből kihajózó zavartalan útját.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.","A kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkettőnknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk felől történjen.",teszt-2026.jpg,2
456,"Kisgéphajóval tavi kikötőből kihajózva észleli az ellentétes irányból közeledő kishajónak nem tekinthető olyan hajót, amely gépi erővel halad. Hogyan kell a találkozást végrehajtani?","Kikötőből kihajózóként nekem kell kitérnem vagy megállnom, hogy biztosítsam a kikötőbe behajózó zavartalan útját.","A kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkettőnknek balra kell tartania úgy, hogy az elhaladás a jobb oldalunk felől történjen.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.",teszt-2030.jpg,3
457,Evezővel hajtott kishajóval tavi kikötőbe behajózva észleli a kishajónak nem tekinthető gépi erővel haladó hajót. Hogyan kell a találkozást végrehajtani?,"A kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül a géphajónak ki kell térnie az evezővel haladó hajó útjából.","A kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkettőnknek balra kell tartania úgy, hogy az elhaladás bal oldalunk felől történjen.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.",teszt-2068.jpg,3
458,Evezővel hajtott kishajóval tavi kikötőbe behajózva észleli a csúcsával fekete kúpot viselő kishajónak nem tekinthető hajót. Hogyan kell a találkozást végrehajtani?,"Kikötőből kihajózóként neki kell kitérnie vagy meg kell állnia, hogy biztosítsa a kikötőbe behajózó zavartalan útját.","A kikötő vízterületén, illetve a bejáratban vagy annak 200 m körzetén belül mindkettőnknek jobbra kell tartania úgy, hogy az elhaladás a bal oldalunk felől történjen.","Nekem kell kitérnem, mivel a kishajónak ki kell térnie a kishajónak nem tekinthető hajó útjából.",teszt-2071.jpg,3
459,Mit értünk az éjszaka fogalmán a víziközlekedésben?,A sötétedés és a világosodás közti időszakot.,A szürkület és a hajnal között időszakot.,A napnyugta és a napkelte közötti időszakot.,,3
460,Mit értünk a nappal fogalmán a víziközlekedésben?,A hajnal és a szürkület közötti időszakot.,A napkelte és a napnyugta közötti időszakot.,A világosodás és a sötétedés közötti időszakot.,,2
461,Mit értünk villanó fényen a víziközlekedésben?,"Olyan fény, amelynél a ritmikus villanás percenként 40-60.","Olyan fény, amelynél a ritmikus villanás percenként több mint 60-80.","Olyan fény, amelynél a ritmikus villanás percenként 100-120",,1
462,Mit értünk gyors villanó fényen a víziközlekedésben?,"Olyan fény, amelynél a ritmikus villanás percenként nem több mint 40-60.","Olyan fény, amelynél a ritmikus villanás percenként 100-120.","Olyan fény, amelynél a ritmikus villanás percenként legfeljebb 60-80.",,2
463,Milyen azonosító jelet kell viselnie egy nyilvántartásra kötelezett kishajónak?,A hivatalos nyilvántartási jelét köteles viselni.,A nyilvántartási számát és a nyilvántartás helye szerinti ország betűjelét köteles viselni.,"A kishajónak nincs hivatalos nyilvántartási jel, ezért csak a nevét köteles viselni.",,1
464,Milyen előírás vonatkozik a nyilvántartásra kötelezett kishajó hivatalos azonosító jelére?,"A hivatalos nyilvántartási jelét köteles viselni, jól olvasható és letörölhetetlen módon.",A tulajdonos nevét köteles viselni mindkét oldalán és a farrészen.,"A tulajdonos lakhelye szerinti ország betűjelét vagy jeleit, és az anyakikötő nevét köteles mindkét oldalán feltüntetni eltávolíthatatlan módon.",,1
465,Milyen előírás vonatkozik a kishajó hivatalos nyilvántartási jelének feltüntetésére?,"Jól olvashatónak, letörölhetetlennek kell lennie, legalább 20 cm magas latin betűkkel feltüntetve.","Jól olvashatónak, letörölhetetlennek kell lennie, legalább 10 cm magas latin betűkkel feltüntetve.","Jól olvashatónak, letörölhetetlennek kell lennie, legalább 10 cm magas, a nemzeti ABC betűivel feltüntetve.",,2
466,"Kishajónak kell-e rendelkeznie merülési mércével, ha annak merülése meghaladja az 1 métert?","Igen, minden olyan hajónak, amelynek merülése eléri az 1 métert rendelkeznie kell merülési mércével.","Nem, a merülési mérce kishajókon nem előírás még akkor sem, ha annak merülése eléri az 1 métert.","Csak abban az esetben, ha merülése eléri az 1,5 métert.",,2
467,A hajózásban mikor kell alkalmazni az éjszakára előírt jelzéseket?,"Éjszaka (napnyugtától napkeltéig) valamint nappal, ha azt a látási viszonyok megkövetelik.",Kizárólag éjszaka (napnyugta és napkelte) között.,"Napszaktól függetlenül abban az esetben, ha a látótávolság 500 méter alá csökken.",,1
468,Mit tekintünk minden oldalról látható fénynek a hajózásban?,Ha felülről is látható a fény.,360 fok látószögben megszakítás nélkül kibocsátott fényt.,Ha a fény folyamatosan világít.,,2
469,Melyek a kisgéphajó árbocfényének jellemzői?,"Látószöge 225 fok, folyamatosan világító, közepesen erős fehér fény, amely a hajó orra felől nézve a bordasíktól hátrafelé mindkét oldalon legfeljebb 22 fok 30 percig látható.","180 fokos látószögű, folytonos, szokásos erősségű fehér fény, amely a hajó orra felől a középsíkra merőleges síkig látható.","112 fok  30 perces látószögű, folytonos, közepesen erős fehér fény, amely a hajó orra felől a középsíkra merőleges síktól előre 56 fok  15 percig látható.",xxx-3548.jpg,1
470,Melyek a kisgéphajó jobb oldali oldalfényének jellemzői?,"Közepesen erős vagy szokásos erősségű zöld fény, amely 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé 32 fok 30 percig látható.","Gyenge zöld fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 22 fok 30 percig látható.","Közepesen erős vagy szokásos erősségű zöld fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.",,3
471,Melyek a kisgéphajó bal oldali oldalfényének jellemzői?,"Erős vörös fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 32 fok 30 percig látható.","Gyenge vörös fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 18 fok 30 percig látható.","Közepesen erős vagy szokásos erősségű vörös fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.",,3
472,Melyek a kisgéphajó farfényének jellemzői?,"Közepesen erős fehér fény, folytonos, 135 fok  látószögű, a hajó fara felől mindkét oldal felé 67 fok 30 percig látható.","Erős vagy szokásos fehér fény, folyamatosan világító, 135 fok  látószögű a hajó fara felől nézve mindkét oldal felé 67 fok 30 percig látható.","Gyenge fehér vagy sárga fény, folytonos, 135 fok  látószögű, a hajó fara felől mindkét oldal felé 67 fok 30 percig látható.",xxx-3554.jpg,2
473,Melyek a vitorlás kishajó bal oldali oldalfényének jellemzői?,"Erős vörös fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 32 fok 30 percig látható.","Közepesen erős vagy szokásos erősségű vörös fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.","Gyenge vörös fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 18 fok 30 percig látható.",xxx-3556.jpg,2
474,Melyek a vitorlás kishajó jobb oldali oldalfényének jellemzői?,"Közepesen erős zöld fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 32 fok 30 percig látható","Közepesen erős vagy szokásos erősségű zöld fény, amely folyamatosan világító, 112 fok 30 perc látószögű, a hajó orra felől nézve a bordasíktól hátrafelé legfeljebb 22 fok 30 percig látható.","Szokásos erősségű zöld fény, amely folytonos, 112 fok 30 perc látószögű, a hajó orra felől a középsíkra merőleges síktól hátrafelé legfeljebb 18 fok 30 percig látható.",xxx-3556.jpg,2
475,Melyek a vitorlás kishajó farfényének jellemzői?,"Erős vagy szokásos fehér fény, folyamatosan világító, 135 fok  látószögű a hajó fara felől nézve mindkét oldal felé 67 fok 30 percig látható.","Gyenge fehér vagy sárga fény, folytonos, 135 fok  látószögű, a hajó fara felől mindkét oldal felé 67 fok 30 percig látható.","Közepesen erős fehér fény, folytonos, 135 fok  látószögű, a hajó fara felől mindkét oldal felé 67 fok 30 percig látható.",xxx-3558.jpg,1
476,"Kishajón alkalmazható-e a Szabályzatban nem említett világító berendezés, fényszóró?","Igen, de csak olyan helyen, ahol személyek tartózkodnak, a kishajó fedélzetén nem.","Nem, kishajón kizárólag a Szabályzatban előírt vagy annak/azok helyettesítésére szolgáló jelzőfény alkalmazható.","Igen, de csak olyat és úgy, hogy azt ne lehessen Szabályzatban előírt jelzőfényként értelmezni, nem csökkentheti jelzőfények láthatóságát, illetve nem nehezítheti azok helyes felismerhetőségét.",,3
477,Milyen fontos előírás vonatkozik az oldalfények elhelyezésére egy kishajón?,Csak azonos típusú és teljesítményű világító test alkalmazható mindkét oldalon.,"Úgy kell ezeket takarni, hogy a zöld fény bal oldalról, a vörös fény jobb oldalról ne legyen látható.","Úgy kell azokat elhelyezni, hogy ne legyenek azonos síkban, csak azonos magasságban.",,2
478,Milyen alkalmazási előírás vonatkozik világító berendezések és fényszórók használatára a Szabályzat alapján?,"Világító berendezések csak reklám céljára használhatók hajózási hatósági engedéllyel, míg a fényszóró használatára korlátozás nem vonatkozik.","Csak a látási holttér bevilágítására alkalmas, legfeljebb 500 méter távolságot bevilágító fényszórót lehet alkalmazni.","Tilos ezeket úgy használni, hogy az a hajózás vagy a szárazföldi közlekedés számára veszélyeztető vagy zavaró vakítást okozzon!",,3
479,"Mit kell tenni, ha a Szabályzat, ha az előírt jelzőfény nem működik?","A hajót egyéb fényforrással kell megvilágítani, hogy a közeledő hajók észleljék jelenlétét.",Haladéktalanul tartalék jelzőfénnyel kell helyettesíteni és a meghibásodott jelzőfény kijavítását a lehető legrövidebb időn belül el kell végezni.,Azonnal meg kell szakítani a hajó útját a jelzőfény meghibásodásának elhárításáig.,,2
480,"Lehet-e alkalmazni a Szabályzatban meghatározottaktól eltérő jelzőfényt, jelzést?","Igen, a hajó és a part közötti összeköttetésre, de csak úgy, hogy az ne legyen összetéveszthető az előírt jelzőfényekkel és jelzésekkel.","Nem, a Szabályzatban meghatározottaktól eltérő jelzőfény, jelzés alkalmazása tilos!","Igen, de csak a hajók közötti összeütközés veszélyének elkerülése érdekében.",,1
481,"Helyettesíthetők-e a kishajón alkalmazott Szabályzatban egyes esetekre előírt a jelzőtestek? Igen, az előírt gömb és kúp",méretei 50 százalékkal csökkenthetők azonos formát mutató szerkezet alkalmazásakor.,távolról azonos alakot mutató szerkezettel helyettesíthetők.,méretei 150 százalékkal növelve helyettesíthetők azonos alakot mutató szerkezet alkalmazásakor.,,2
482,"Mivel jelzi nappal a hajó, ha vitorla mellett gépi erőt is használ?",Egy csúcsával felfelé néző fekete kúppal.,Egy sárga kettőskúppal.,Egy csúcsával lefelé mutató fekete kúppal.,,3
483,Hogyan ismeri fel a veszélyes árukat szállít hajókat nappal? A veszélyes áru jellegének megfelelő számú,"csúcsával felfelé néző egy, kettő vagy három kék kettőskúpot viselnek.","csúcsával lefelé néző egy, kettő vagy három kék kúpot viselnek.","csúcsával lefelé néző egy, kettő vagy három fekete kúpot viselnek.",,2
484,Kisgéphajója meghibásodott. Hogy biztonságos helyre hajózzon evezővel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?,"A kisgéphajóra előírt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni.","Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.","Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",,3
485,Vitorlás kishajójával szélcsendes időben partra/kikötőbe szeretne jutni. Segédmotorral nem rendelkezik ezért evezővel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?,"A vitorlás kishajóra előírt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni.","Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.","Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi erővel és nem vitorlával haladok.",,3
486,"Milyen esetben észlelheti gyorsjáratú hajón a két gyors, perceként 100-120-szor villanó sárga fényt?",Az elindulást követően azonnal viseli.,Akkor viseli azokat amikor eléri a 40 km/h sebességet.,"Az utazósebesség elérésétől viseli azokat még akkor is, ha az nem éri el a 40 km/h sebességet.",xxx-3948.jpg,3
487,Milyen méretűek lehetnek a tavon közlekedő kishajón alkalmazott jelzőeszközök a Szabályzat II. része alapján?,"A gömb átmérője 0,8 m, a kúp magassága 0,6 m, alapátmérője 0,4 m, míg a lobogó és tábla hossza és szélessége 0,5 m.","A lobogó valamint a tábla hossza és szélessége, a kúp magassága és alapátmérője, valamint a gömb átmérője legalább 0,4 m.","A lobogó valamint a tábla hossza és szélessége 1,0 m, a gömb átmérője valamint a kúp magassága és alapátmérője 0,6 m.",,2
488,"A Szabályzat II. része alapján, melyek a legkisebb elfogadható méretei tavon a vitorla mellett gépi erőt is használó kishajón alkalmazott fekete kúpnak? A kúp magassága és alapátmérője:","0,4 x 0,4 m.","0,3 x 0,3 m.","0,5 x 0,5 m.",teszt-1234.jpg,1
489,"Hogyan ismeri fel azt nappal, hogy egy hajó 20 méternél kisebb hosszúságú, de 12 főnél több utas szállítására rendelkezik engedéllyel?",Egy sárga kettőskúpot visel.,Egy csúcsával lefelé fordított fekete kúpot visel.,Egy csúcsával felfelé fordított sárga kúpot visel.,,1
490,"Hogyan ismeri fel azt nappal, hogy egy hajó gyúlékony árut szállít?",Egy csúcsával felfelé fordított fekete kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,,2
491,"Hogyan ismeri fel azt nappal, hogy egy hajó egészségre ártalmas árut szállít?",Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,Függőleges vonalban három csúcsával lefelé fordított kék kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,,1
492,"Hogyan ismeri fel azt nappal, hogy egy hajó robbanásveszélyes árut szállít?",Függőleges vonalban két csúcsával lefelé fordított kék kúpot visel.,Függőleges vonalban három csúcsával lefelé fordított kép kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,,2
